month,tm,eip,p,vc
1,27.23,9.8842,0.9074,0.0749
2,27.85,9.3671,0.9019,0.07
3,28.07,9.1964,0.8998,0.0682
4,28.05,9.2116,0.9,0.0684
5,27.5,9.6522,0.9051,0.0729
6,25.9,11.2121,0.9171,0.0833
7,24.55,12.9825,0.9239,0.086
8,23.82,14.1944,0.9264,0.0841
9,24.65,12.8324,0.9235,0.0861
10,26.1,10.9901,0.9158,0.0822
11,27.35,9.7797,0.9064,0.074
12,27.77,9.4308,0.9026,0.0706
